SignalType=Sine
Amplitude=5
Frequency=5
PointsCount=1000
time	value
0	0
0.001	0.15705379539064146
0.002	0.31395259764656686
0.003	0.4705415665925716
0.004	0.6266661678215213
0.005	0.7821723252011543
0.006	0.9369065729286231
0.007	1.0907162069827128
0.008	1.243449435824274
0.009000000000000001	1.3949555301961465
0.01	1.545084971874737
0.011	1.6936896012264568
0.012	1.8406227634233898
0.013000000000000001	1.985739453173903
0.014	2.1288964578253635
0.015	2.2699524986977337
0.016	2.4087683705085765
0.017	2.5452070787518566
0.018000000000000002	2.679133974894983
0.019	2.8104168892606527
0.02	2.938926261462366
0.021	3.0645352682648825
0.022	3.1871199487434483
0.023	3.306559326618259
0.024	3.4227355296434436
0.025	3.5355339059327378
0.026000000000000002	3.644843137107058
0.027	3.7505553481522975
0.028	3.852566213878946
0.029	3.950775061878452
0.03	4.045084971874737
0.031	4.1354028713728095
0.032	4.221639627510076
0.033	4.303710135019719
0.034	4.381533400219318
0.035	4.455032620941839
0.036000000000000004	4.524135262330098
0.037	4.588773128419906
0.038	4.648882429441256
0.039	4.704403844771127
0.04	4.755282581475767
0.041	4.801468428384715
0.042	4.842915805643155
0.043000000000000003	4.879583809693737
0.044	4.911436253643443
0.045	4.938441702975689
0.046	4.9605735065723895
0.047	4.9778098230154
0.048	4.990133642141358
0.049	4.997532801828658
0.05	5
0.051000000000000004	4.997532801828658
0.052000000000000005	4.990133642141358
0.053	4.9778098230154
0.054	4.9605735065723895
0.055	4.938441702975689
0.056	4.911436253643443
0.057	4.879583809693737
0.058	4.842915805643155
0.059000000000000004	4.801468428384715
0.06	4.755282581475768
0.061	4.704403844771127
0.062	4.648882429441257
0.063	4.5887731284199065
0.064	4.524135262330097
0.065	4.455032620941839
0.066	4.381533400219317
0.067	4.303710135019719
0.068	4.221639627510075
0.069	4.135402871372809
0.07	4.045084971874737
0.07100000000000001	3.9507750618784514
0.07200000000000001	3.852566213878946
0.073	3.750555348152298
0.074	3.644843137107059
0.075	3.5355339059327378
0.076	3.422735529643444
0.077	3.306559326618259
0.078	3.187119948743449
0.079	3.0645352682648817
0.08	2.9389262614623664
0.081	2.8104168892606523
0.082	2.679133974894983
0.083	2.5452070787518553
0.084	2.408768370508576
0.085	2.269952498697734
0.08600000000000001	2.1288964578253626
0.08700000000000001	1.985739453173903
0.088	1.8406227634233907
0.089	1.6936896012264588
0.09	1.5450849718747375
0.091	1.3949555301961478
0.092	1.243449435824274
0.093	1.0907162069827139
0.094	0.9369065729286229
0.095	0.7821723252011549
0.096	0.6266661678215204
0.097	0.47054156659257174
0.098	0.3139525976465679
0.099	0.15705379539064118
0.1	6.123233995736766E-16
0.101	-0.15705379539064218
0.10200000000000001	-0.31395259764656674
0.10300000000000001	-0.47054156659257274
0.10400000000000001	-0.6266661678215214
0.105	-0.7821723252011537
0.106	-0.9369065729286217
0.107	-1.0907162069827125
0.108	-1.243449435824273
0.109	-1.3949555301961465
0.11	-1.5450849718747364
0.111	-1.6936896012264575
0.112	-1.8406227634233896
0.113	-1.985739453173902
0.114	-2.1288964578253635
0.115	-2.2699524986977333
0.116	-2.408768370508577
0.117	-2.545207078751856
0.11800000000000001	-2.6791339748949836
0.11900000000000001	-2.8104168892606527
0.12	-2.938926261462365
0.121	-3.064535268264881
0.122	-3.1871199487434483
0.123	-3.3065593266182587
0.124	-3.4227355296434436
0.125	-3.5355339059327373
0.126	-3.6448431371070567
0.127	-3.7505553481522975
0.128	-3.852566213878947
0.129	-3.950775061878452
0.13	-4.045084971874736
0.131	-4.135402871372808
0.132	-4.2216396275100765
0.133	-4.303710135019719
