SignalType=Square
Amplitude=232
Frequency=2
PointsCount=1000
time	value
0	232
0.001	232
0.002	232
0.003	232
0.004	232
0.005	232
0.006	232
0.007	232
0.008	232
0.009000000000000001	232
0.01	232
0.011	232
0.012	232
0.013000000000000001	232
0.014	232
0.015	232
0.016	232
0.017	232
0.018000000000000002	232
0.019	232
0.02	232
0.021	232
0.022	232
0.023	232
0.024	232
0.025	232
0.026000000000000002	232
0.027	232
0.028	232
0.029	232
0.03	232
0.031	232
0.032	232
0.033	232
0.034	232
0.035	232
0.036000000000000004	232
0.037	232
0.038	232
0.039	232
0.04	232
0.041	232
0.042	232
0.043000000000000003	232
0.044	232
0.045	232
0.046	232
0.047	232
0.048	232
0.049	232
0.05	232
0.051000000000000004	232
0.052000000000000005	232
0.053	232
0.054	232
0.055	232
0.056	232
0.057	232
0.058	232
0.059000000000000004	232
0.06	232
0.061	232
0.062	232
0.063	232
0.064	232
0.065	232
0.066	232
0.067	232
0.068	232
0.069	232
0.07	232
0.07100000000000001	232
0.07200000000000001	232
0.073	232
0.074	232
0.075	232
0.076	232
0.077	232
0.078	232
0.079	232
0.08	232
0.081	232
0.082	232
0.083	232
0.084	232
0.085	232
0.08600000000000001	232
0.08700000000000001	232
0.088	232
0.089	232
0.09	232
0.091	232
0.092	232
0.093	232
0.094	232
0.095	232
0.096	232
0.097	232
0.098	232
0.099	232
0.1	232
0.101	232
0.10200000000000001	232
0.10300000000000001	232
0.10400000000000001	232
0.105	232
0.106	232
0.107	232
0.108	232
0.109	232
0.11	232
0.111	232
0.112	232
0.113	232
0.114	232
0.115	232
0.116	232
0.117	232
0.11800000000000001	232
0.11900000000000001	232
0.12	232
0.121	232
0.122	232
0.123	232
0.124	232
0.125	232
0.126	232
0.127	232
0.128	232
0.129	232
0.13	232
0.131	232
0.132	232
0.133	232
0.134	232
0.135	232
0.136	232
0.137	232
0.138	232
0.139	232
0.14	232
0.14100000000000001	232
0.14200000000000002	232
0.14300000000000002	232
0.14400000000000002	232
0.145	232
0.146	232
0.147	232
0.148	232
0.149	232
0.15	232
0.151	232
0.152	232
0.153	232
0.154	232
0.155	232
0.156	232
0.157	232
0.158	232
0.159	232
0.16	232
0.161	232
0.162	232
0.163	232
0.164	232
0.165	232
0.166	232
0.167	232
0.168	232
0.169	232
0.17	232
0.171	232
0.17200000000000001	232
0.17300000000000001	232
0.17400000000000002	232
0.17500000000000002	232
0.176	232
0.177	232
0.178	232
0.179	232
0.18	232
0.181	232
0.182	232
0.183	232
0.184	232
0.185	232
0.186	232
0.187	232
0.188	232
0.189	232
0.19	232
0.191	232
0.192	232
0.193	232
0.194	232
0.195	232
0.196	232
0.197	232
0.198	232
0.199	232
0.2	232
0.201	232
0.202	232
0.203	232
0.20400000000000001	232
0.20500000000000002	232
0.20600000000000002	232
0.20700000000000002	232
0.20800000000000002	232
0.209	232
0.21	232
0.211	232
0.212	232
0.213	232
0.214	232
0.215	232
0.216	232
0.217	232
0.218	232
0.219	232
0.22	232
0.221	232
0.222	232
0.223	232
0.224	232
0.225	232
0.226	232
0.227	232
0.228	232
0.229	232
0.23	232
0.231	232
0.232	232
0.233	232
0.234	232
0.23500000000000001	232
0.23600000000000002	232
0.23700000000000002	232
0.23800000000000002	232
0.23900000000000002	232
0.24	232
0.241	232
0.242	232
0.243	232
0.244	232
0.245	232
0.246	232
0.247	232
0.248	232
0.249	232
0.25	232
0.251	-232
0.252	-232
0.253	-232
0.254	-232
0.255	-232
0.256	-232
0.257	-232
0.258	-232
0.259	-232
0.26	-232
0.261	-232
0.262	-232
0.263	-232
0.264	-232
0.265	-232
0.266	-232
0.267	-232
0.268	-232
0.269	-232
0.27	-232
0.271	-232
0.272	-232
0.273	-232
0.274	-232
0.275	-232
0.276	-232
0.277	-232
0.278	-232
0.279	-232
0.28	-232
0.281	-232
0.28200000000000003	-232
0.28300000000000003	-232
0.28400000000000003	-232
0.28500000000000003	-232
0.28600000000000003	-232
0.28700000000000003	-232
0.28800000000000003	-232
0.289	-232
0.29	-232
0.291	-232
0.292	-232
0.293	-232
0.294	-232
0.295	-232
0.296	-232
0.297	-232
0.298	-232
0.299	-232
0.3	-232
0.301	-232
0.302	-232
0.303	-232
0.304	-232
0.305	-232
0.306	-232
0.307	-232
0.308	-232
0.309	-232
0.31	-232
0.311	-232
0.312	-232
0.313	-232
0.314	-232
0.315	-232
0.316	-232
0.317	-232
0.318	-232
0.319	-232
0.32	-232
0.321	-232
0.322	-232
0.323	-232
0.324	-232
0.325	-232
0.326	-232
0.327	-232
0.328	-232
0.329	-232
0.33	-232
0.331	-232
0.332	-232
0.333	-232
0.334	-232
0.335	-232
0.336	-232
0.337	-232
0.338	-232
0.339	-232
0.34	-232
0.341	-232
0.342	-232
0.343	-232
0.34400000000000003	-232
0.34500000000000003	-232
0.34600000000000003	-232
0.34700000000000003	-232
0.34800000000000003	-232
0.34900000000000003	-232
0.35000000000000003	-232
0.35100000000000003	-232
0.352	-232
0.353	-232
0.354	-232
0.355	-232
0.356	-232
0.357	-232
0.358	-232
0.359	-232
0.36	-232
0.361	-232
0.362	-232
0.363	-232
0.364	-232
0.365	-232
0.366	-232
0.367	-232
0.368	-232
0.369	-232
0.37	-232
0.371	-232
0.372	-232
0.373	-232
0.374	-232
0.375	-232
0.376	-232
0.377	-232
0.378	-232
0.379	-232
0.38	-232
0.381	-232
0.382	-232
0.383	-232
0.384	-232
0.385	-232
0.386	-232
0.387	-232
0.388	-232
0.389	-232
0.39	-232
0.391	-232
0.392	-232
0.393	-232
0.394	-232
0.395	-232
0.396	-232
0.397	-232
0.398	-232
0.399	-232
0.4	-232
0.401	-232
0.402	-232
0.403	-232
0.404	-232
0.405	-232
0.406	-232
